,topicID,tweetID,label,full_text_ar,full_text_en,preprocessed_text_no_stemming,preprocessed_text_with_stemming
0,CT20-AR-05,1221585936095555584,0,"بين ثورة لبنان ال١٠٠ يوم وبين ٤٠ العراق 
تتر ورُعاع ايران ما زالت رائحة البارود والنار تفوح منهم ، من حرق الخيم وإطلاق الرصاص على المتظاهرين 
وأكتافهم تعبت من بناء حواجز بينهم وبين المواطنين لحماية مملكتهم الهشة 

رُعاع القرن الحالي 
#ايران #العراق #لبنان 
#لبنان_النا_مش_الكن","Between Lebanon and the 100-day revolution between 40 and Iraq
Tatar and rabble Iran is the smell of gunpowder and fire still smelt them, from the burning tents and shooting at demonstrators
And their shoulders are tired of building including barriers between citizens and to protect the fragile kingdom

Riffraff current century
Iran # # # Iraq, Lebanon
# Of Banan_na_mh_alkn",lebanon day revolution iraq tatar rabble iran smell gunpowder fire still smelt burning tents shooting demonstrators shoulders tired building including barriers citizens protect fragile kingdom riffraff current century iran iraq lebanon,lebanon day revolution iraq tatar rabble iran smell gunpowder fire still smelt burning tents shooting demonstrators shoulders tired building including barriers citizens protect fragile kingdom riffraff current century iran iraq lebanon
1,CT20-AR-05,1221587916750753793,0,"#لبنان_النا_مش_الكن
أرملة فقيرة
عليهاإيقاف خدمات
خلونانفرحهاوعيالها
ليس لهم بعد الله سبحانه إلاأنتم
بيت أجاروعايشه ع الضمان
وفاتورة الكهرباء أهم وأقل شي سداد نص الفاتورة
والفصل بعديوم
أسأل الله يفرج همهم
والله مبلغهم مو معجزة
التنفيذ؛2030633080(77ألف)
الكهرباء؛10097517557(7آلاف) https://t.co/1kzQxf2XeB","# Of Banan_na_mh_alkn
Poor widow
Allehaaaagaf Services
Khllonanfrhaauaaalha
Not for them after God Almighty Alaontm
House Oquaaish p Guarantee
The electricity bill the most important and less Shi to pay the bill text
The chapter After a day
I ask God released hum
God Mpelghm Mo miracle
Implementation; 2030633080 (77 thousand)
Electricity; 10097517557 (7 thousand) https://t.co/1kzQxf2XeB",poor widow allehaaaagaf services khllonanfrhaauaaalha god almighty alaontm house oquaaish guarantee electricity bill important less shi pay bill text chapter day ask god released hum god mpelghm mo miracle implementation thousand electricity thousand,poor widow allehaaaagaf services khllonanfrhaauaaalha god almighty alaontm house oquaaish guarantee electricity bill important less shi pay bill text chapter day ask god released hum god mpelghm mo miracle implementation thousand electricity thousand
2,CT20-AR-05,1221602993918894081,0,"#جدار_العار
الحيتان الحيطان..عمروا بينن و بين الشعب..حيطان","# Jaddar_ar
Whales Alehitan..amra Bann and between Alhab..hitan",whales alehitan amra bann alhab hitan,whales alehitan amra bann alhab hitan
3,CT20-AR-05,1221653116036304896,0,هل يحمي #جدار_العار السلطة السياسية الفاسدة من شعبها الثائر ضدها؟ https://t.co/HYQnmpI07L,Does it protect # Jaddar_ar corrupt political power of its people rebellious against it? https://t.co/HYQnmpI07L,protect corrupt political power people rebellious,protect corrupt political power people rebellious
4,CT20-AR-05,1221663019345874944,1,"موازنة شو؟!
١- ارقام غير صحيحة.
٢- حكومة لم تنل الثقة بعد، يعني غير مسؤولة عن ارقام وضعتها الحكومة السابقة.
انّو جلسة استفزاز للشعب؟!
اذا بدكن الناس تعطيكم فرصة، بالقليلة كونوا منطقيين!
#لبنان_ينتفض","Balancing Shu ?!
1. The figures are incorrect.
2. The Government has not received the confidence yet, I mean is not responsible for the figures set by the previous government.
Llano session provocation to the people ?!
If people give you a chance Bdkin, inconsiderable Be logical!
# Of Banan_antvd",balancing shu figures incorrect government received confidence yet mean responsible figures set previous government llano session provocation people people give chance bdkin inconsiderable logical,balancing shu figures incorrect government received confidence yet mean responsible figures set previous government llano session provocation people people give chance bdkin inconsiderable logical
5,CT20-AR-05,1221688210834759680,0,"#سندريلات_مرهج :تزامناً مع انعقاد جلسة #الموازنة النيابية اليوم الاثنين، تابعونا (إن شئتم) عبر شاشة NBN الساعة  ١٠ ونصف صباحا في حديث سياسي مباشر حول المستجدات السياسية على الساحتين المحلية والدولية بضيافة الإعلامية أمل فضول 
@nbntweets https://t.co/Tk5frOg2gh","# Sndrellat_mirhej: to coincide with the parliamentary session # budget on Monday, Follow us (if you like) via the screen NBN 10 and a half hours in the morning direct political talk about political developments on the local and international arenas hosted by media curiosity of hope
@nbntweets https://t.co/Tk5frOg2gh",coincide parliamentary session budget monday follow us like via screen nbn half hours morning direct political talk political developments local international arenas hosted media curiosity hope nbntweets,coincide parliamentary session budget monday follow us like via screen nbn half hours morning direct political talk political developments local international arenas hosted media curiosity hope nbntweets
6,CT20-AR-05,1221689818771591168,0,"لما يكون إلك 25 سنة طباخ سياسة البلد والكل عاجبينه بهاراتك رح تعتبر ثورة الشعب شعطة خفيفة بالطبخة 
وعد إنك رح تحس باحتراق الطبخة كلياً قريباً

#لبنان_ينتفض","Why is ULC 25 years old Cook Country Policy and all Aajpanh Bharatk Rah is a people's revolution Hatth light Batabkhh
He promised Rah feel the burning broth entirely soon

# Of Banan_antvd",ulc years old cook country policy aajpanh bharatk rah people revolution hatth light batabkhh promised rah feel burning broth entirely soon,ulc years old cook country policy aajpanh bharatk rah people revolution hatth light batabkhh promised rah feel burning broth entirely soon
7,CT20-AR-05,1221691106322276352,0,"#بيروت كل نائب يحضر جلسات مجلس العار بقوة القمع و العزل الأمني هو نائب خائن للأمة و الشعب اللبناني. 
#لبنان_ينتفض  #لبنان","# Beirut each deputy to attend sessions of the Council of shame strongly repression and security isolation is the deputy traitor to the nation and the Lebanese people.
# # Banan_antvd to Lebanon",beirut deputy attend sessions council shame strongly repression security isolation deputy traitor nation lebanese people lebanon,beirut deputy attend sessions council shame strongly repression security isolation deputy traitor nation lebanese people lebanon
8,CT20-AR-05,1221694569399623681,0,"عسكر لمين... عسكر لحماية النواب
#لبنان_ينتفض
#لبنان_يثور","Askar Maine Askar ... for the protection of the House of Representatives
# Of Banan_antvd
# Of Banan_ithor",askar maine askar protection house representatives,askar maine askar protection house representatives
9,CT20-AR-05,1221698474854551552,1,"ثوار ١٤ اذار يحاصرون المجلس النيابي الان 

#مجلس_النواب https://t.co/sCyhsOzxmR","March 14 rebels besieging the parliament now

# Cil_alnwab https://t.co/sCyhsOzxmR",march rebels besieging parliament,march rebels besieging parliament
